url_path,views_total,views_unique
/mike-clark-8192/my-repo-stats/actions/runs/9139040645,4,2
/mike-clark-8192/my-repo-stats/blob/main/.github/workflows/my-repo-stats-ghrs.yml,4,1
/mike-clark-8192/my-repo-stats/actions/workflows/my-repo-stats-ghrs.yml,3,1
/mike-clark-8192/my-repo-stats/actions/workflows/pages/pages-build-deployment,3,1
/mike-clark-8192/my-repo-stats/edit/main/.github/workflows/my-repo-stats-ghrs.yml,2,1
/mike-clark-8192/my-repo-stats/tree/main/mike-clark-8192,2,1
/mike-clark-8192/my-repo-stats/tree/main/mike-clark-8192/files2md,2,1
/mike-clark-8192/my-repo-stats,1,1
/mike-clark-8192/my-repo-stats/actions,1,1
/mike-clark-8192/my-repo-stats/actions/workflows/test_gh_cli.yml,1,1
